start to process file[./kernel_10b500]
Source Version:          2107.7.55.2.2
mach_trap_table offset in file/memory (for patching purposes) @[0x002ee4a0], addr [0x8032f4a0]

dump mach_trap_table
Kern invalid should be 80028495. Ignoring those
 10 _kernelrpc_mach_vm_allocate_trap         80014608 T
 12 _kernelrpc_mach_vm_deallocate_trap       80014674 T
 14 _kernelrpc_mach_vm_protect_trap          800146b8 T
 16 _kernelrpc_mach_port_allocate_trap       8001470c T
 17 _kernelrpc_mach_port_destroy_trap        8001475c T
 18 _kernelrpc_mach_port_deallocate_trap     80014798 T
 19 _kernelrpc_mach_port_mod_refs_trap       800147d4 T
 20 _kernelrpc_mach_port_move_member_trap    80014814 T
 21 _kernelrpc_mach_port_insert_right_trap   80014858 T
 22 _kernelrpc_mach_port_insert_member_trap  800148b8 T
 23 _kernelrpc_mach_port_extract_member_trap 800148fc T
 26 mach_reply_port                          8001ba90 T
 27 thread_self_trap                         8001ba74 T
 28 task_self_trap                           8001ba54 T
 29 host_self_trap                           80019de0 T
 31 mach_msg_trap                            80014f90 T
 32 mach_msg_overwrite_trap                  80014e3c T
 33 semaphore_signal_trap                    8002775c T
 34 semaphore_signal_all_trap                800277e0 T
 35 semaphore_signal_thread_trap             800276e8 T
 36 semaphore_wait_trap                      80027a84 T
 37 semaphore_wait_signal_trap               80027c2c T
 38 semaphore_timedwait_trap                 80027b6c T
 39 semaphore_timedwait_signal_trap          80027d10 T
 44 task_name_for_pid                        8021d3a8 T
 45 task_for_pid                             8021d1f8 T
 46 pid_for_task                             8021d1ac T
 48 macx_swapon                              8021df90 T
 49 macx_swapoff                             8021e1e4 T
 51 macx_triggers                            8021df70 T
 52 macx_backing_store_suspend               8021deec T
 53 macx_backing_store_recovery              8021de94 T
 58 pfz_exit                                 80027dec T
 59 swtch_pri                                80027eb8 T
 60 swtch                                    80027df0 T
 61 thread_switch                            800280a8 T
 62 clock_sleep_trap                         800179cc T
 89 mach_timebase_info_trap                  80016b04 T
 90 mach_wait_until_trap                     800171cc T
 91 mk_timer_create_trap                     8001fb18 T
 92 mk_timer_destroy_trap                    8001fd24 T
 93 mk_timer_arm_trap                        8001fd68 T
 94 mk_timer_cancel_trap                     8001fdec T
100 kern_invalid                             8026ecc0 T
Sysent offset in file (for patching purposes) @[0x002f10b8], addr [0x803320b8]
ARM Exception Vector is at file offset @[0x4c6000], addr [0x80507000]

dump posix_syscall_table
Suppressing enosys (0x801ecc71)
  1 exit                                     801d5c00 T
  2 fork                                     801d8b0c T
  3 read                                     801ec89c T
  4 write                                    801ecc70 T
  5 open                                     800b23e8 T
  6 close                                    801cdc40 T
  7 wait4                                    801d6848 T
  9 link                                     800b292c T
 10 unlink                                   800b3034 T
 12 chdir                                    800b1ca4 T
 13 fchdir                                   800b1b34 T
 14 mknod                                    800b2500 T
 15 chmod                                    800b3b84 T
 16 chown                                    800b3ce0 T
 18 getfsstat                                800b18d0 T
 20 getpid                                   801dd398 T
 23 setuid                                   801dd64c T
 24 getuid                                   801dd41c T
 25 geteuid                                  801dd42c T
 26 ptrace                                   801e9444 T
 27 recvmsg                                  8020bc14 T
 28 sendmsg                                  8020b75c T
 29 recvfrom                                 8020b840 T
 30 accept                                   8020b114 T
 31 getpeername                              8020bee0 T
 32 getsockname                              8020be30 T
 33 access                                   800b34f0 T
 34 chflags                                  800b396c T
 35 fchflags                                 800b3a34 T
 36 sync                                     800b1364 T
 37 kill                                     801e0f58 T
 39 getppid                                  801dd3a0 T
 41 dup                                      801cbc90 T
 42 pipe                                     801eeefc T
 43 getegid                                  801dd4a4 T
 46 sigaction                                801e0074 T
 47 getgid                                   801dd494 T
 48 sigprocmask                              801e05b8 T
 49 getlogin                                 801de274 T
 50 setlogin                                 801de2ec T
 51 acct                                     801c6678 T
 52 sigpending                               801e075c T
 53 sigaltstack                              801e0e9c T
 54 ioctl                                    801ed034 T
 55 reboot                                   801e93a8 T
 56 revoke                                   800b543c T
 57 symlink                                  800b2b9c T
 58 readlink                                 800b3870 T
 59 execve                                   801d55d4 T
 60 umask                                    800b5414 T
 61 chroot                                   800b1d74 T
 65 msync                                    801d965c T
 66 vfork                                    801d81a4 T
 73 munmap                                   801d9708 T
 74 mprotect                                 801d973c T
